pilot_id,media_id,group,media_property,candidate_position,selection_source_url,article_url,final_resolved_url,article_title,publication_date,selection_timestamp,eligibility_status,exclusion_reason,notes
pilot-01,B02,B,アルファルファモザイク,1,https://alfalfalfa.com/,https://alfalfalfa.com/articles/11104935.html,https://alfalfalfa.com/articles/11104935.html,,2026-09-07,2026-09-07T11:21:38+09:00,EXCLUDED,"Redirect to a tech support scam page observed during eligibility assessment","Ordinary content-access interaction redirected the browser to an external page impersonating Apple, presenting a false security warning, restricting normal browser control, and instructing the user to call a displayed telephone number. Measurement was stopped for safety. The event was not reproduced. Attribution of the redirect to the publisher was not established."
pilot-01,B02,B,オレ的ゲーム速報＠刃,1,https://jin115.com/,https://jin115.com/archives/52458385.html,https://jin115.com/archives/52458385.html,"「女性に挨拶されただけでいきなり告白してくる童貞」が絶対にいなくならない不都合な理由、コレです・・・",2026-09-07,2026-09-07T13:31:41+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream after B02 replacement."
pilot-01,B02,B,オレ的ゲーム速報＠刃,2,https://jin115.com/,https://jin115.com/archives/52458390.html,https://jin115.com/archives/52458390.html,"X民「知り合いのケチャラーに注意しても全然直らねぇ・・・せや！」〇〇した結果、ガチ効きして速攻改善するｗｗｗｗｗｗ",2026-09-07,2026-09-07T13:31:41+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream after B02 replacement."
pilot-01,B02,B,オレ的ゲーム速報＠刃,3,https://jin115.com/,https://jin115.com/archives/52458389.html,https://jin115.com/archives/52458389.html,"高市内閣の支持率、上昇へ",2026-09-07,2026-09-07T13:31:41+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream after B02 replacement."
pilot-01,B03,B,ニュー速クオリティ,1,https://news4vip.livedoor.biz/,https://news4vip.livedoor.biz/archives/52589218.html,https://news4vip.livedoor.biz/archives/52589218.html,"プーチン、ウクライナ紛争の根本原因を除去する必要性を強調・・・",2026-09-07,2026-09-07T13:40:36+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B03,B,ニュー速クオリティ,2,https://news4vip.livedoor.biz/,https://news4vip.livedoor.biz/archives/52589217.html,https://news4vip.livedoor.biz/archives/52589217.html,"くら寿司、全品１０％割引！！急げ！！！",2026-09-07,2026-09-07T13:40:36+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B03,B,ニュー速クオリティ,3,https://news4vip.livedoor.biz/,https://news4vip.livedoor.biz/archives/52588820.html,https://news4vip.livedoor.biz/archives/52588820.html,"【悲報】発達障害さん、高校以降の人生の難易度が高すぎる・・・",2026-09-07,2026-09-07T13:40:36+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B04,B,ハムスター速報,1,https://hamusoku.com/,https://hamusoku.com/archives/11037298.html,https://hamusoku.com/archives/11037298.html,"くら寿司のちいかわ横領１０％割引キャンペーン　客からの申告制だった",2026-09-07,2026-09-07T13:47:17+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B04,B,ハムスター速報,2,https://hamusoku.com/,https://hamusoku.com/archives/11037289.html,https://hamusoku.com/archives/11037289.html,"グラビアモデル兼プロ雀士の岡田紗佳さん　ポケモン配信者ライバロリのポケモンゲットしてしまう",2026-09-07,2026-09-07T13:47:17+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B04,B,ハムスター速報,3,https://hamusoku.com/,https://hamusoku.com/archives/11037272.html,https://hamusoku.com/archives/11037272.html,"セクシー女優の瀬戸環奈さん　親に仕事内容をインタビューされるというドン引きの嘘イベント発生",2026-09-07,2026-09-07T13:47:17+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B05,B,哲学ニュースnwk,1,https://nwknews.jp/,https://nwknews.jp/archives/6256931.html,https://nwknews.jp/archives/6256931.html,"【大雨】日産スタジアムの「水上の楼閣」が再注目www　豪雨から街と命を守るスタジアムだった",2026-09-07,2026-09-07T13:53:21+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B05,B,哲学ニュースnwk,2,https://nwknews.jp/,https://nwknews.jp/archives/6256929.html,https://nwknews.jp/archives/6256929.html,"【動画】SFの世界が現実に…イーロン・マスク「ハンドルなし・アクセルなし・ブレーキなし」の自動運転車を走らせる",2026-09-07,2026-09-07T13:53:21+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B05,B,哲学ニュースnwk,3,https://nwknews.jp/,https://nwknews.jp/archives/6256926.html,https://nwknews.jp/archives/6256926.html,"【沖縄県知事選】古謝氏が優勢、現職・玉城デニー氏は劣勢　2割強が態度未定",2026-09-07,2026-09-07T13:53:21+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B06,B,VIPPERな俺,1,https://news23vip.livedoor.blog/,https://news23vip.livedoor.blog/archives/6256958.html,https://news23vip.livedoor.blog/archives/6256958.html,"【悲報】Ankerのモバイルバッテーまた燃える。おまけでPixel 6aも燃える",2026-09-07,2026-09-07T14:38:42+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B06,B,VIPPERな俺,2,https://news23vip.livedoor.blog/,https://news23vip.livedoor.blog/archives/6256953.html,https://news23vip.livedoor.blog/archives/6256953.html,"本屋がどんどん潰れていく…",2026-09-07,2026-09-07T14:38:42+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
pilot-01,B06,B,VIPPERな俺,3,https://news23vip.livedoor.blog/,https://news23vip.livedoor.blog/archives/6256944.html,https://news23vip.livedoor.blog/archives/6256944.html,"ハプスブルク家の免疫力強すぎw",2026-09-07,2026-09-07T14:38:42+09:00,SELECTED,,"Sequentially selected from the site's ordinary article stream."
